days,dollar_rate
746,"3,05"
747,"3,05"
748,"3,06"
749,"3,08"
750,"3,08"
751,"3,10"
752,"3,09"
753,"3,10"
754,"3,09"
755,"3,08"
756,"3,07"
757,"3,07"
758,"3,07"
759,"3,08"
760,"3,08"
761,"3,10"
762,"3,10"
763,"3,10"
764,"3,10"
765,"3,11"
766,"3,11"
767,"3,13"
768,"3,15"
769,"3,17"
770,"3,19"
771,"3,20"
772,"3,26"
773,"3,28"
774,"3,27"
775,"3,31"
776,"3,31"
777,"3,38"
778,"3,37"
779,"3,36"
780,"3,38"
781,"3,40"
782,"3,44"
783,"3,42"
784,"3,42"
785,"3,42"
786,"3,45"
787,"3,51"
788,"3,53"
789,"3,51"
790,"3,43"
791,"3,37"
792,"3,45"
793,"3,52"
794,"3,47"
795,"3,48"
796,"3,52"
797,"3,49"
798,"3,49"
799,"3,51"
800,"3,51"
801,"3,51"
802,"3,51"
803,"3,50"
804,"3,51"
805,"3,53"
806,"3,53"
807,"3,52"
808,"3,53"
809,"3,57"
810,"3,58"
811,"3,59"
812,"3,61"
813,"3,70"
814,"3,76"
815,"3,85"
816,"3,84"
817,"3,80"
818,"3,76"
819,"3,78"
820,"3,78"
821,"3,79"
822,"3,82"
823,"3,77"
824,"3,75"
825,"3,80"
826,"3,83"
827,"3,88"
828,"3,83"
829,"3,79"
830,"3,77"
831,"3,73"
832,"3,74"
833,"3,68"
834,"3,71"
835,"3,74"
836,"3,70"
837,"3,67"
838,"3,69"
839,"3,65"
840,"3,65"
841,"3,67"
842,"3,67"
843,"3,62"
844,"3,62"
845,"3,61"
846,"3,57"
847,"3,57"
848,"3,59"
849,"3,61"
850,"3,63"
851,"3,68"
852,"3,72"
853,"3,71"
854,"3,68"
855,"3,70"
856,"3,75"
857,"3,75"
858,"3,74"
859,"3,75"
860,"3,73"
861,"3,67"
862,"3,61"
863,"3,63"
864,"3,61"
865,"3,63"
866,"3,61"
867,"3,62"
868,"3,59"
869,"3,62"
870,"3,64"
871,"3,64"
872,"3,64"
873,"3,64"
874,"3,64"
875,"3,68"
876,"3,71"
877,"3,72"
878,"3,73"
879,"3,72"
880,"3,68"
881,"3,66"
882,"3,68"
883,"3,66"
884,"3,68"
885,"3,66"
886,"3,64"
887,"3,64"
888,"3,59"
889,"3,58"
890,"3,59"
891,"3,56"
892,"3,55"
893,"3,53"
894,"3,53"
895,"3,54"
896,"3,56"
897,"3,55"
898,"3,59"
899,"3,60"
900,"3,57"
901,"3,59"
902,"3,56"
903,"3,55"
904,"3,55"
905,"3,61"
906,"3,56"
907,"3,57"
908,"3,56"
909,"3,56"
910,"3,57"
911,"3,58"
912,"3,56"
913,"3,53"
914,"3,53"
915,"3,53"
916,"3,51"
917,"3,53"
918,"3,52"
919,"3,54"
920,"3,52"
921,"3,52"
922,"3,52"
923,"3,51"
924,"3,50"
925,"3,51"
926,"3,50"
927,"3,52"
928,"3,53"
929,"3,52"
930,"3,50"
931,"3,52"
932,"3,51"
933,"3,52"
934,"3,53"
935,"3,55"
936,"3,58"
937,"3,62"
938,"3,63"
939,"3,60"
940,"3,63"
941,"3,60"
942,"3,57"
943,"3,56"
944,"3,54"
945,"3,53"
946,"3,53"
947,"3,53"
948,"3,53"
949,"3,54"
950,"3,56"
951,"3,56"
952,"3,53"
953,"3,53"
954,"3,52"
955,"3,52"
956,"3,53"
957,"3,54"
958,"3,53"
959,"3,53"
960,"3,53"
961,"3,54"
962,"3,53"
963,"3,54"
964,"3,53"
965,"3,53"
966,"3,53"
967,"3,52"
968,"3,52"
969,"3,51"
970,"3,50"
971,"3,50"
972,"3,48"
973,"3,48"
974,"3,44"
975,"3,44"
976,"3,44"
977,"3,44"
978,"3,44"
979,"3,42"
980,"3,41"
981,"3,40"
982,"3,43"
983,"3,43"
984,"3,45"
985,"3,43"
986,"3,45"
987,"3,49"
988,"3,48"
989,"3,51"
990,"3,49"
991,"3,52"
992,"3,53"
993,"3,57"
994,"3,57"
995,"3,55"
996,"3,58"
997,"3,58"
998,"3,56"
999,"3,57"
1000,"3,60"
1001,"3,70"
1002,"3,68"
1003,"3,68"
1004,"3,64"
1005,"3,65"
1006,"3,64"
1007,"3,65"
